Item,SubType,Total Weight (g),Total Weight (lbs),,,,,
Green Beans,,14990.50573,33.05,,,,,
Tomato,Red Cherry,3896.290123,8.59,,,,,
,Golden Cherry,1519.67328,3.35,,,,Grams to LBS,453.6
,San Marzano,7266.000441,16.02,55.32,,,Grams to Kilograms,1000
,Golden Jubilee,2254.482363,4.97,,,,,
,Large,10155.18166,22.39,,,,Total (g),73615.056
Raspberry,,2616.881393,5.77,,,,Total (kg),73.615056
Strawberry,,1601.763668,3.53,,,,Total (lbs),162.29
Snap Pea,,72.07936508,0.16,,,,,
Onion,,12.01322751,0.03,,,,,
Broccoli,,114.1256614,0.25,,,,,
Blueberries,,6.006613757,0.01,,,,,
Cucumber,,1932.127425,4.26,,,,,
Green Pepper,,246.271164,0.54,,,,,
Plum,,3389.732363,7.47,,,,,
Black Berries,,945.0405644,2.08,,,,,
Peaches,,3485.838183,7.68,,,,,
Corn,,3890.28351,8.58,,,,,
Banana Pepper,,90.09920635,0.20,,,,,
Acorn Squash,,4915.412257,10.84,,,,,
Potatoes,,1395.536596,3.08,,,,,
Butternut Squash,,8631.503968,19.03,,,,,
Jalapeno,,188.207231,0.41,,,,,
