,,,,,,,,,,,,,Tomatoes,,,,,,,,,,,Potatoes,,,,,,,Day Total,,,
Date,Raspberries,Strawberries,Snap Peas,Green Beans,Green Bean Seeds,Onions (qty),Broccoli,Blueberries,Cucumber,Green Pepper,Plum,Black Berries,Small,Golden Cherry,Large,Heirloom,Golden Jubilee,San Marzano,Peaches,Corn,Corn Seeds,Banana Pepper,Acorn Squash,Red,Yellow/Yukon,Butternut Squash,Jalapeno,Zucchini,Pumpkin,Brussel Sprouts,Grams,Pounds,,
N/A,,60,12,,,6,,,,,,,,,,,,,,,,,,,,,,,,,78,0.17,,
6/16,79,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,0.22,,
6/17,31,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.18,,
6/18,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.16,,
6/20,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0.20,,453.6
6/21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,0.14,,
6/24,145,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,0.34,,
6/25,182,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,223,0.49,,
6/26,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,0.31,,
6/28,110,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,0.25,,
6/29,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,0.21,,
7/1,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,0.21,,
7/2,86,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,87,0.19,,
7/4,62,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,69,0.15,,
7/6,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0.10,,
7/7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.02,,
7/9,5,16,,,,,13,,,,,,14,,,,,,,,,,,,,,,,,,48,0.11,,
