Strawberry,"3,899",,,,
Hulaberry,52,,,,
Raspberry,627,,,,
Blueberry,295,,,,
Zucchini,"15,381",,,,
Green Beans,"1,085",,,Total (g),"91,418"
2023 Green Beans,561,,,Total (lbs),201.5388007
Blackberry,774,,,,
Better Boy,"2,396",,,,
Beefsteak,"3,061",,,,
Purple,"1,011",,,,
Heirloom,"10,167",,,,
Bush Goliath,"3,019",,,,
Cherry Tomato,"1,810",,,,
Plum,"22,981",,,,
Roma,"2,079",,,,
Potato,550,,,,
Cucumber,"10,540",,,,
Spaghetti Squash,"4,913",,,,
Onion,133,,,,
Peach,"5,504",,,,
Corn,462,,,,
Jalapeno,74,,,,
Cannabis,44,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,,,,,
Strawberry,,,,,
Hulaberry,,,,,
Raspberry,,,,,
Blueberry,,,,,
Zucchini,,,,,
Green Beans,,,,,
2023 Green Beans,,,,,
Blackberry,,,,,
Better Boy,,,,,
Beefsteak,,,,,
Purple,,,,,
Heirloom,,,,,
Bush Goliath,,,,,
Cherry Tomato,,,,,
Plum,,,,,
Roma,,,,,
Potato,,,,,
Cucumber,,,,,
Spaghetti Squash,,,,,
Onion,,,,,
Peach,,,,,
Corn,,,,,
Jalapeno,,,,,
Cannabis,,,,,
,,,,,
