Date,Strawberry,Hulaberry,Raspberry,Blueberry,Zucchini,Green Beans,2023 Green Beans,Blackberry,Better Boy,Beefsteak,Purple,Heirloom,Bush Goliath,Cherry Tomato,Plum,Roma,Potato,Cucumber,Spaghetti Squash,Onion,Peach,Corn,Jalapeno,Cannabis
5/29/2024,417,,,,,,,,,,,,,,,,,,,,,,,
6/5/2024,456,,,,,,,,,,,,,,,,,,,,,,,
6/7/2024,283,,,,,,,,,,,,,,,,,,,,,,,
6/13/2024,270,28,28,,,,,,,,,,,,,,,,,,,,,
6/15/2024,77,,,,,,,,,,,,,,,,,,,,,,,
6/18/2024,51,18,161,,,,,,,,,,,,,,,,,,,,,
6/20/2024,,,98,,,,,,,,,,,,,,,,,,,,,
6/21/2024,40,,81,,,,,,,,,,,,,,,,,,,,,
6/22/2024,40,,22,,,,,,,,,,,,,,,,,,,,,
6/25/2024,122,,110,,,,,,,,,,,,,,,,,,,,,
6/27/2024,44,,34,,,,,,,,,,,,,,,,,,,,,
6/29/2024,202,6,22,,,,,,,,,,,,,,,,,,,,,
7/1/2024,30,,62,,,,,,,,,,,,,,,,,,,,,
7/3/2024,62,,9,,,,,,,,,,,,,,,,,,,,,
7/5/2024,95,,,,,,,,,,,,,,,,,,,,,,,
7/13/2024,47,,,4,,,,,,,,,,,,,,,,,,,,
7/17/2024,,,,12,957,14,,,,,,,,,,,,,,,,,,
7/18/2024,,,,29,281,,,29,,,,,,,,,,,,,,,,
7/19/2024,46,,,6,,,,,,,,,,,,,,,,,,,,
7/20/2024,,,,,,,,61,,,,,,,,,,,,,,,,
7/21/2024,,,,,908,,,,228,,,,356,5,394,,,,,,,,,
7/22/2024,39,,,,"1,039",,,,,,,,,,,,,,,,,,,
7/23/2024,,,,,747,,,,,,,,,,,,,,,,,,,
7/24/2024,,,,21,,,,33,,,,,,,,,,,,,,,,
7/25/2024,,,,,,,,,132,,,,,8,,,,,,,,,,
7/26/2024,27,,,3,,,,,,,,,,,"3,486",,550,,,,,,,
7/27/2024,,,,,,,,,339,,,,,,,,,,,,,,,
7/28/2024,40,,,15,,,,,,,,,,,,,,,,,,,,
7/29/2024,36,,,,,70,,,,,,,,15,"4,213",,,948,,,,,,
7/31/2024,,,,23,,,,,,,,,,,"9,500",,,,,,,,,
8/1/2024,74,,,168,376,,,,,,,,,17,"2,419",,,404,,,,,,
8/2/2024,,,,,,,,,,,,,,,"2,122",,,,,,,,,
8/3/2024,62,,,10,,11,,,,,,,,17,,,,,,,,,,
8/4/2024,,,,,319,,,,357,,,,,6,,,,,,,,,,
8/5/2024,,,,,,,,279,,,,,,36,,,,,,,,,,
8/7/2024,,,,,342,,,,,,,,,37,,,,,"1,318",,,,,
8/9/2024,145,,,4,420,67,,312,,,,,,,51,,,"1,282",,133,,,,
8/10/2024,36,,,,,38,,,73,,,,72,53,376,,,,,,"2,519",,,
8/11/2024,,,,,"1,257",,,,,,,,,,,,,,,,,,,
8/12/2024,,,,,380,,,,,,,,,49,,,,,,,,,,
8/13/2024,,,,,507,28,,,,,,,,24,,,,740,,,,,,
8/14/2024,,,,,,,,,,,,,,35,,74,,440,,,,,,
8/15/2024,,,,,,67,,,,,,,,64,,65,,,,,,,,
8/16/2024,,,,,,,,,,,,,,13,420,,,,,,"2,985",,,
8/17/2024,31,,,,319,36,,60,,,,,,,,61,,,,,,,,
8/19/2024,,,,,,38,,,,,,,,9,,41,,385,,,,,,
8/21/2024,38,,,,,50,,,,,,,364,25,,411,,,,,,,,
8/23/2024,,,,,,,,,,,,,624,24,,110,,,,,,,,
8/24/2024,,,,,,52,,,,,,,357,13,,256,,474,,,,,,
8/26/2024,,,,,,,,,,,,,186,67,,174,,,,,,,,
8/28/2024,38,,,,,132,,,,,,,,59,,,,493,,,,,,
8/31/2024,,,,,341,36,,,,,,720,609,69,,183,,,,,,,,
9/3/2024,,,,,,46,,,,,,460,360,55,,,,606,,,,,,
9/6/2024,,,,,"2,626",89,,,,,,369,,57,,,,,,,,,,
9/7/2024,432,,,,"1,134",,,,,,,,91,61,,78,,,,,,,,
9/8/2024,80,,,,,,,,,,,"1,081",,93,,,,,,,,,,
9/11/2024,,,,,"1,328",80,,,,,,"1,149",,240,,,,889,,,,,,
9/13/2024,102,,,,459,,,,,,,,,109,,,,,,,,,,
9/14/2024,,,,,,,,,,,,304,,,,,,,,,,,,
9/16/2024,,,,,,,,,,,,506,,72,,,,557,,,,,,
9/17/2024,,,,,351,,,,,,,380,,,,,,,,,,,,
9/19/2024,176,,,,,51,,,390,,,452,,,,,,"1,045",,,,,,
9/22/2024,129,,,,942,,84,,503,"1,056",120,"1,303",,172,,233,,,,,,327,,
9/23/2024,,,,,,,,,,,,,,70,,,,,,,,,,
9/25/2024,,,,,,15,219,,243,341,,,,,,,,330,,,,,34,
9/26/2024,,,,,,,27,,,175,379,"1,262",,,,59,,,,,,,,
9/27/2024,,,,,,,,,,,,405,,,,,,,,,,,,
9/28/2024,,,,,348,,,,131,,,241,,51,,,,,,,,,,
10/1/2024,132,,,,,,16,,,906,289,350,,118,,,,253,,,,,,
10/5/2024,,,,,,,119,,,401,,,,,,136,,,,,,,,
10/6/2024,,,,,,,,,,,223,,,,,130,,,"3,595",,,,,
10/7/2024,,,,,,,,,,,,,,,,,,,,,,135,,
10/10/2024,,,,,,,50,,,,,,,35,,,,,,,,,,
10/13/2024,,,,,,,46,,,,,,,,,,,,,,,,,
10/14/2024,,,,,,,,,,,,,,,,,,613,,,,,,
10/17/2024,,,,,,67,,,,182,,"1,185",,32,,68,,"1,081",,,,,40,
10/19/2024,,,,,,82,,,,,,,,,,,,,,,,,,
10/20/2024,,,,,,16,,,,,,,,,,,,,,,,,,
11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"3,899",52,627,295,"15,381","1,085",561,774,"2,396","3,061","1,011","10,167","3,019","1,810","22,981","2,079",550,"10,540","4,913",133,"5,504",462,74,22
