Date,,,, Lettuce,,,,,Peppers,,,,,,,Tomato,,,,,,,,,,,
,Strawberry,Zucchini,Green Bean,Romaine,Little Gem,Blueberry,Plum,Cucumber,Jalapeno,Anaheim,Poblano,Habanero,Bell,Corn,Blackberry,Cherry,San Marzano,Heirloom,Beefsteak,Gold,Peach,Cantaloupe,Butternut Squash,Total Per Day,,,
,"3,296.00","24,614.00","1,294.00",620.00,125.00,541.00,"46,436.48","5,273.00","1,867.00",974.00,"1,731.00","1,094.00",773.00,"1,985.00",197.00,"4,153.00","20,188.00","1,308.00","7,970.00","2,725.00","6,391.00","3,778.00",,,,,
5/28/2025,1046,,,,,,,,,,,,,,,,,,,,,,,1046,,Total (g),"137,333.48"
5/29/2025,263,,,,,,,,,,,,,,,,,,,,,,,263,,Grams to LBS,453.6
5/30/2025,100,,,,,,,,,,,,,,,,,,,,,,,100,,Grams to Kilograms,1000
6/1/2025,84,,,,,,,,,,,,,,,,,,,,,,,84,,,
6/6/2025,371,,,,,,,,,,,,,,,,,,,,,,,371,,,
6/10/2025,97,,,66,,,,,,,,,,,,,,,,,,,,163,,Total (kg),137.33348
6/14/2025,164,,,110,,,,,,,,,,,,,,,,,,,,274,,Total (lbs),302.7634039
6/18/2025,65,,,,,,,,,,,,,,,,,,,,,,,65,,,
6/20/2025,,403,,,,,,,,,,,,,,,,,,,,,,403,,,
6/25/2025,53,,14,,,,,,,,,,,,,,,,,,,,,67,,,
6/27/2025,,,,,125,,,,,,,,,,,,,,,,,,,125,,,
6/29/2025,,,,248,,,,,,,,,,,,,,,,,,,,248,,,
7/2/2025,,536,97,196,,,,,,,,,,,,,,,,,,,,829,,,
7/3/2025,10,,33,,,,,,,,,,,,,,,,,,,,,43,,,
7/4/2025,23,344,21,,,1,,,,,,,,,,,,,,,,,,389,,,
7/7/2025,,1309,,,,1,348,,,,,,,,,,,,,,,,,1658,,,
7/8/2025,,681,,,,4,,,,,,,,,,,,,,,,,,685,,,
7/9/2025,10,,279,,,,835,,16,,,,,,,,,,,,,,,1140,,,
7/10/2025,,,,,,3,,,,,,,,,,,,,,,,,,3,,,
7/13/2025,,1528,,,,24,7076,,,,,,,,,,,,,,,,,8628,,,
7/14/2025,,2201,,,,31,2526,302,23,,31,,,,,,,,,,,,,5114,,,
7/15/2025,,265,229,,,25,2270,,,,,,,219,,,,,,,,,,3008,,,
7/16/2025,,,,,,,,,,,,,,,50,,,,,,,,,50,,,
7/17/2025,,1019,,,,,,205,,,,,,,,,,,,,,,,1224,,,
7/18/2025,,579,,,,,,524,,,,,,,,,,,,,,,,1103,,,
7/19/2025,17,416,97,,,47,7257.48,,,,47,,,,147,,,,,,,,,8028.48,,,
7/20/2025,6,451,,,,,5665,255,,,,,,,,2,,,,,,,,6379,,,
7/21/2025,,457,,,,48,,,,,,,,,,,,,,,,,,505,,,
7/22/2025,,,,,,20,,,,,,,,,,,,,,,,,,20,,,
7/23/2025,,660,,,,54,,691,,,,,,,,,,,,,,,,1405,,,
7/24/2025,18,1152,,,,35,10584,,,,,,,,,1,,,,,,,,11790,,,
7/25/2025,26,,152,,,,,,29,,52,,,,,11,,,,,,,,270,,,
7/26/2025,43,1662,,,,31,3538,189,,,,,,463,,,,,,,,,,5926,,,
7/27/2025,,883,,,,,3896,,,,,,,,,24,,,,,,,,4803,,,
7/28/2025,,250,,,,,1279,322,,,,,,,,,,,,,,,,1851,,,
7/29/2025,7,,,,,72,,,,,,,,,,16,,,,,,,,95,,,
7/30/2025,120,566,76,,,,1162,198,,,,,,,,,,,,,,,,2122,,,
7/31/2025,54,,,,,,,,,,,,,800,,,,,,,,,,854,,,
8/1/2025,57,567,,,,44,,,,,,,,,,,,,,,,,,668,,,
8/2/2025,12,1203,37,,,31,,767,,,,,,192,,67,,,,,,,,2309,,,
8/4/2025,51,866,,,,34,,290,,,,,,,,35,,,,,,,,1276,,,
8/5/2025,,1168,,,,,,,,,,,,,,,,,,,,,,1168,,,
8/6/25,150,,,,,15,,,104,,68,,,,,,,,,,,,,337,,,
8/7/25,91,369,,,,,,,,,,,,,,30,,,,,47,,,537,,,
8/11/2025,100,3682,62,,,,,669,90,135,163,,,,,50,26,112,,,1168,,,6257,,,
8/13/2025,24,493,,,,18,,,,124,,,,,,27,,,,,1500,,,2186,,,
8/14/2025,,,,,,,,,,,,,,,,31,127,154,,,,,,312,,,
8/15/2025,79,,81,,,3,,861,171,21,21,,,,,51,279,719,,,2591,744,,5621,,,
8/16/2025,41,,40,,,,,,54,,,,,311,,97,1205,,,876,,,,2624,,,
8/17/2025,,,,,,,,,,,,,,,,,,,,,944,,,944,,,
8/18/2025,,,,,,,,,,,,,,,,17,585,,,,,,,602,,,
8/19/2025,34,433,,,,,,,,,,,,,,8,356,,,,,,,831,,,
8/21/2025,,,,,,,,,,,,,,,,12,311,73,,,141,,,537,,,
8/23/2025,80,,53,,,,,,91,,56,,,,,40,220,,,,,,,540,,,
8/24/2025,,,,,,,,,,,,,,,,,742,,,,,,,742,,,
8/25/2025,,,,,,,,,,,,,,,,89,453,,,237,,,,779,,,
8/26/2025,,,,,,,,,77,,,,,,,46,575,64,,,,234,,996,,,
8/27/2025,,471,,,,,,,,,,,,,,71,256,,,,,,,798,,,
8/28/2025,,,,,,,,,,,,,,,,13,458,,,,,,,471,,,
8/29/2025,,,,,,,,,,,,,,,,69,503,,,284,,,,856,,,
8/30/2025,,,23,,,,,,45,,,,,,,225,1000,,96,,,2800,,4189,,,
9/1/2025,,,,,,,,,,,,,,,,503,1120,,,140,,,,1763,,,
9/3/2025,,,,,,,,,,,,,,,,378,923,,,,,,,1301,,,
9/5/2025,,,,,,,,,,,,,,,,678,1511,186,,64,,,,2439,,,
9/7/2025,,,,,,,,,206,,82,,503,,,493,2045,,2908,182,,,,6419,,,
9/9/2025,,,,,,,,,,,,57,,,,,2071,,2066,491,,,,4685,,,
9/11/2025,,,,,,,,,,,,,,,,177,319,,807,,,,,1303,,,
9/12/2025,,,,,,,,,,,,,,,,203,1987,,1358,153,,,,3701,,,
9/15/2025,,,,,,,,,15,202,175,51,,,,,,,,,,,,443,,,
9/18/2025,,,,,,,,,53,108,284,,,,,358,1500,,588,217,,,,3108,,,
9/20/2025,,,,,,,,,94,100,305,,,,,222,933,,147,81,,,,1882,,,
9/25/2025,,,,,,,,,358,176,188,97,,,,50,304,,,,,,,1173,,,
9/25/2025,,,,,,,,,,,,120,,,,,,,,,,,,,,,
10/2/2025,,,,,,,,,135,,,75,165,,,,,,,,,,,,,,
10/3/2025,,,,,,,,,192,,97,124,105,,,25,207,,,,,,,,,,
10/4/2025,,,,,,,,,18,,162,20,,,,,,,,,,,5443,,,,
10/6/2025,,,,,,,,,,,,38,,,,34,172,,,,,,,,,,
12/21/2025,,,,,,,,,96,108,,512,,,,,,,,,,,,,,,
